Game,Day,Date,StartTime,LOG,EndTime,Home,Attendance,Opp,TeamScore,OppScore,PointDiff,Win,OT,Season,Wins,Losses,Streak,Rivalry,Celtics,Knicks
46,Tuesday,2016-01-26,19:00:00,138,21:18:00,0,10851,Phoenix Suns,113,103,10,1,0,2015,7,39,1,0,0,0
47,Wednesday,2016-01-27,19:30:00,145,21:55:00,1,13712,Detroit Pistons,97,110,-13,0,0,2015,7,40,-1,0,0,0
48,Saturday,2016-01-30,17:00:00,129,19:09:00,0,20798,Golden State Warriors,105,108,-3,0,0,2015,7,41,-2,0,0,0
49,Wednesday,2016-02-03,19:00:00,124,21:04:00,0,10429,Atlanta Hawks,86,124,-38,0,0,2015,7,42,-3,0,0,0
50,Friday,2016-02-05,19:00:00,129,21:09:00,1,17305,Washington Wizards,94,106,-12,0,0,2015,7,43,-4,0,0,0
51,Saturday,2016-02-06,19:30:00,140,21:50:00,0,18847,Brooklyn Nets,103,98,5,1,0,2015,8,43,1,0,0,0
52,Monday,2016-02-08,19:00:00,157,21:37:00,0,13310,Los Angeles Clippers,92,98,-6,0,1,2015,8,44,-1,0,0,0
53,Wednesday,2016-02-10,19:00:00,137,21:17:00,0,12501,Sacramento Kings,110,114,-4,0,0,2015,8,45,-2,0,0,0
54,Friday,2016-02-19,20:00:00,147,22:27:00,1,16953,New Orleans Pelicans,114,121,-7,0,0,2015,8,46,-3,0,0,0
55,Sunday,2016-02-21,19:00:00,139,21:19:00,1,20194,Dallas Mavericks,103,129,-26,0,0,2015,8,47,-4,0,0,0
56,Tuesday,2016-02-23,19:00:00,146,21:26:00,0,13745,Orlando Magic,115,124,-9,0,0,2015,8,48,-5,0,0,0
57,Wednesday,2016-02-24,19:30:00,134,21:44:00,1,13429,Detroit Pistons,91,111,-20,0,0,2015,8,49,-6,0,0,0
58,Friday,2016-02-26,19:00:00,134,21:14:00,0,16511,Washington Wizards,94,103,-9,0,0,2015,8,50,-7,0,0,0
59,Sunday,2016-02-28,18:00:00,140,20:20:00,1,16168,Orlando Magic,116,130,-14,0,0,2015,8,51,-8,0,0,0
60,Monday,2016-02-29,19:00:00,146,21:26:00,1,15096,Washington Wizards,108,116,-8,0,0,2015,8,52,-9,0,0,0
61,Wednesday,2016-03-02,19:00:00,135,21:15:00,0,11143,Charlotte Hornets,99,119,-20,0,0,2015,8,53,-10,0,0,0
