Game,Day,Date,xStartTime,xLOG,xEndTime,Home,Attendance,Opp,TeamScore,OppScore,PointDiff,Win,OT,SO,Season,Wins,Losses,Streak,Rivalry,Penguins,Rangers,Devils,RegularSeason,ConfQF
37,Saturday,2016-01-02,17:00:00,153,19:33:00,1,18230,Los Angeles Kings,1,2,-1,0,0,0,2015,15,15,-3,0,0,0,0,1,0
38,Tuesday,2016-01-05,19:00:00,157,21:37:00,0,19163,Montreal Canadiens,4,3,1,1,0,0,2015,16,15,1,0,0,0,0,1,0
39,Thursday,2016-01-07,19:00:00,154,21:34:00,1,19125,Minnesota Wild,4,3,1,1,1,0,2015,17,15,2,0,0,0,0,1,0
40,Saturday,2016-01-09,17:00:00,145,19:25:00,0,19874,New York Islanders,4,0,4,1,0,0,2015,18,15,3,0,0,0,0,1,0
41,Wednesday,2016-01-13,19:00:00,142,21:22:00,0,19704,Boston Bruins,3,2,1,1,0,0,2015,19,15,4,0,0,0,0,1,0
42,Saturday,2016-01-16,17:00:00,156,19:36:00,0,19843,New York Rangers,2,3,-1,0,1,1,2015,19,15,-1,1,0,1,0,1,0
43,Sunday,2016-01-17,17:00:00,159,19:39:00,1,20027,Detroit Red Wings,2,1,1,1,1,1,2015,20,15,1,0,0,0,0,1,0
44,Tuesday,2016-01-19,19:00:00,158,21:38:00,0,19319,Toronto Maple Leafs,2,3,-1,0,0,0,2015,20,16,-1,0,0,0,0,1,0
45,Thursday,2016-01-21,19:00:00,159,21:39:00,1,18652,Pittsburgh Penguins,3,4,-1,0,0,0,2015,20,17,-2,1,1,0,0,1,0
46,Monday,2016-01-25,19:00:00,156,21:36:00,0,19738,Boston Bruins,2,3,-1,0,0,0,2015,20,18,-3,0,0,0,0,1,0
